,,
100 years,,"For 10 points, the Sandman punishes children who refused to take what action, which a princess does for 100 years before being awoken by a kiss?"
,,
101 Women,,A group of 101 British suffragettes wrote and signed a 1914 open letter of this name to call for the end of World War I.
,,
102 watercolors,,"A woman with this surname stands on a chariot drawn by a griffin, accompanied by the four Apostles, in one of a set of 102 watercolors made at the end of William Blake’s life; the same woman and her companion see the (*) heavenly host in two of the last entries in a series of engravings by Gustave Doré."
,,
103 seats,,"At the federal level, Liberals hold 98 of its 103 seats in the House of Commons, but a surge by the New Democrats here may harm the national majority."
,,
104 gang,,Name this novella that explores 24 hours of a prisoner’s time working under Tyurin in the 104 gang.
,,
105 weeks,,"A main theme by this composer begins with a stepwise unison ascending passage for strings, after which a solo woodwind instrument enters with a semiquaver figure on a G. A 2004 album in which this composer’s music was performed by Yo-Yo Ma remained on the Billboard Top Classical Albums chart for 105 weeks."
,,
106 pairs,,A park in this city contains 106 pairs of detached metal legs titled Agora.
,,
107 works,,His most famous collection is a series of 107 works that coined the term “essay” as a type of writing.
,,
108 heroes,,"In a more well-known work by this creator of a print series depicting the 108 heroes from Water Margin , a princess recites a spell from a handscroll as Mitsukuni cowers beneath a massive skeleton ripping through a curtain wall."
,,
109 degrees,,"For 10 points, name this effect that occurs when sp3-hybridized carbon atoms in a ring don’t have bond angles of 109 degrees."
,,
110 pounds,,"In 2020, the US reduced the deferral period for gay men providing this stuff, whose suppliers must typically weigh over 110 pounds and wait 56 days between donations."
,,
cubic 111 plane,,"Since the cubic 111 plane has the highest surface density of atoms, it is sometimes preferred to the 100 (""one-zero-zero"") plane when cutting wafers of this metalloid to make integrated circuits."
,,
112 ark,,"In one of this artist's drawings, a girl watches from a window as the 112 ark crashes into her house."
,,
113 earthquakes,,"Since January 2014, 113 earthquakes in Kansas have been connected to operations using this technique."
,,
114 sayings,,"This is the first name of the attributed author of a text that claims ""Whoever discovers the interpretation"" of its 114 sayings ""will not taste death."""
,,
115 years,,"After that incident, a wooden stand with the power to create magical food to allow humans to live 115 years was placed in the sanctuary of this faith."
,,
116 dollars,,A group active in this conflict paid recruits 116 dollars if they already owned a camel and faced off against rivals such as the (*) Justice and Equality Movement.
,,
117 Days,,"[Note to players: The answer to this tossup is a first, or given, name, and NOT a surname] Ronald Segal edited the imprisonment memoir of an activist of this first name titled 117 Days."
,,
118 sailors,,"In the first year in this decade, 118 sailors were killed in the Barents Sea when a nuclear submarine sank in the Kursk disaster."
,,
119 years,,"For 10 points, name this mountain, which was named Mount McKinley for 119 years before having its original name restored."
,,
120 counties,,Sports radio host Matt Jones drove through all 120 of its counties to understand why its senior senator is so unpopular.
,,
"121 ""houses with fire""",,"A diplomat’s account describes the thatched roofs of commoners’ houses in this empire, whose founder established 121 “houses with fire” as rest stops for travellers."
,,
122 years,,This state spent 122 years paying off a crushing indemnity imposed by an 1825 invasion fleet.
,,
Flight 123,,"For 10 points, JAL (“jay-ay-ell”) Flight 123 crashed in which country, whose Yodogo Hijacking saw assailants commandeer a plane using samurai swords?"
,,
124 Bluestone,,Name this character who sleeps with Sethe at the top of a staircase after arriving at 124 Bluestone.
,,
125 players,,This massive Strauss work written for 125 players tracks ascending the title structure.
,,
126 protons,,"Name these things that are most stable when they are composed of the “magic numbers” of 2, 8, 20, 28, 50, 82, or 126 protons and neutrons."
,,
127 countries,,"Hall and Jones associated this measure with latitude, speaking an ""international language,"" and disfavoring diversion in an analysis across 127 countries."
,,
128 captives,,"Captain Robert Ensor was wounded during this event, in which all 128 captives aboard the namesake brig were offered freedom when the ship arrived in Nassau."
,,
129 women,,"Frances Perkins headed a committee formed in the aftermath of one of these events in 1911 in which 146 people died, 129 of them women, in the worst industrial disaster in US history."
,,
130 mph,,"A character created by this author is nearly killed by a blue beetle, a car full of teenagers driving at 130 mph."
,,
131 poems,,"In addition to ""Tithonus"" and ""The Kraken,"" he wrote a set of 131 poems in iambic tetrameter after the death of his friend A. H. Hallam."
,,
132 sections,,"This poem’s seventh section opens in a “long unlovely street” in front of a “Dark house, by which once more I stand.” Later descriptions of (*) Darwinism evoked the brutality of natural selection with this poem’s line about “nature, red in tooth and claw.” This poem, which contains 132 sections in an A-B-B-A rhyme scheme, states “’Tis better to have loved and lost / Than never loved at all.” For 10 points, name this poem on the death of Arthur Henry Hallam, written by Alfred, Lord Tennyson."
,,
133 times,,"This artist, who describes his work as “doing time,” failed to (*) punch in on time only 133 times for a piece in which he had to punch in on a time clock once per hour for an entire year."
,,
134 columns,,"A complex in this city includes ten huge pylons, and houses 134 enormous, relief-decorated columns in its Great Hypostyle Hall."
,,
135 firms,,A cluster of 135 firms in this country’s northeast makes most of the world’s soccer balls.
,,
136 bars,,Wagner’s later opera The Rhinegold opens with 136 bars in this key in the Prelude.
,,
137 years,,This figure was said to have lived 137 years and once quelled a storm by jumping directly into the raging ocean.
,,
isotope 138,,"It is found in monazite and bastnasite and its isotope 138 is sometimes used with barium to date rocks, although its 139 isotope is more common."
,,
Air France Flight 139,,"For 10 points, identify this 1976 Israeli operation that freed 102 passengers of Air France Flight 139 being held hostage at a Ugandan airport."
,,
140 Broadway,,"140 Broadway is home to a a bright red (*) Isamu Noguchi sculpture of one of these objects, which also title a series of 28 geometric stainless steel sculptures made by David Smith."
,,
141 entrances,,"Hector Guimard’s contributions to Art Nouveau include the 141 iron and glass entrances he designed for this system, only 58 of which still remain."
,,
142 ouvrages,,"This project centered around 142 ouvrages[oo-vrazh], many of which were concentrated around (*) Metz, and which were spread out all the way to Dover Beach."
,,
143 degrees,,This boundary was first discovered via its reflection of low angle P-waves that created a P-wave shadow zone from 103 and 143 degrees of an earthquake’s hypocenter.
,,
144 times,,"This artist ran around Amsterdam’s Stedelijk Museum 144 times in what he called a “metamarathon.”Many of this artist’s works have been made in collaboration with Nastja Säde Rönkkö and Luke Turner, including a piece in which they occupied an elevator for 24 hours."
,,
145 levees,,"Secretary of Commerce Herbert Hoover supervised the response to this event, in which 145 levees broke."
,,
146 people,,Membership in this union rose sharply after the death of 146 people in New York City’s Asch Building in the 1911 Triangle Shirtwaist Factory Fire.
,,
147 maxims,,"Plutarch wrote an essay about a large ""E"" inscribed at this location, whose 147 namesake maxims include the inscription ""know thyself."""
,,
148 seats,,"This politician represents the riding of Papineau and he led the Liberal Party to an increase of 148 seats when he was elected to his current position, which led to the resignation of Stephen Harper."
,,
149 miles,,Identify this structure that once extended some 149 miles.
,,
150 ppm,,Molecules containing these bonds display peaks on carbon-13 NMR above 150 ppm due to strong deshielding.
,,
151 savants,,"151 ""savants"" who joined a campaign here produced an encyclopedia called the ""Description"" of it."
,,
152 people,,"In November 2013, a special tribunal here convicted the chief of the Jamaat-e-Islami of war crimes committed in 1971, and in that same month 152 people here were sentenced to death for a 2009 mutiny attempt."
,,
153 fish,,"In the epilogue of this book, 153 fish are caught."
,,
154 miles,,"It covers 154 miles of the Moroccan Sahara, including a grueling 12-degree ascent of the El Otfal jebel."
,,
155 sheets,,This artist created 155 sheets of stamps to commemorate soldiers killed in the Iraq War in his work Queen and Country.
,,
156 members,,"156 members of this party were acquitted at the Treason Trial, which inspired Oliver Tambo to leave the country and lead this party from exile."
,,
157 poems,,"Perhaps the best-known work in Bengali is this poetry collection, published in 1910 with 157 poems in Bengali, then republished in English in 1912 with 50 of the originals plus 53 of Rabindranath Tagore's other works."
,,
158 questions,,"A book from this movement asks 158 questions like “is there any knowledge of things unseen,” each ending with the clause “or not.” A thinker in this movement expanded on glosses with a compilation of commentaries called the Four Books of Sentences."
,,
159 edition,,"This doctor appended five songs to the unauthorized 159 edition of Astrophel and Stella, he is better known for his own verses like “Rose Cheek’t Laura” and his Books of Ayres."
,,
160 merchants,,"Name this empire that, under Moctezuma I, defeated the Mixtec king Atonal to avenge his execution of 160 merchants."
,,
161 year-old,,"In 1836, this man hosted a public autopsy of the purportedly 161 year-old enslaved woman Joice Heth, who was a member of his “freak show” alongside the dwarf “Tom Thumb.” The Ringling brothers bought out a circus this man founded with James Bailey."
,,
